crop,temperature,humidity,rainfall,wind_speed,pressure,cloud_cover,soil_pH,nitrogen,phosphorus,potassium,organic_matter,season,month,success
Cotton,24.1,61.2,5.51,7.5,1020.3,0.6,6.67,1,2,0,2.29,0,1,0
Jowar,23.4,54.6,2.3,8.8,1008.0,24.5,7.69,0,0,0,2.86,0,2,0
Bajra,31.4,62.4,1.21,5.6,1006.0,54.3,7.3,1,0,1,2.83,0,4,1
Cotton,26.1,60.6,1.64,3.1,1008.1,95.3,6.7,1,0,2,1.31,1,8,1
Pulses,26.4,9.9,0.96,14.3,1007.6,0.7,5.78,1,1,1,1.29,1,6,1
Pulses,27.5,42.7,1.62,6.0,1006.4,76.4,5.91,0,2,1,1.21,1,12,1
Jowar,25.0,66.6,4.85,8.1,1013.9,36.8,6.29,2,1,1,0.83,2,10,1
Jowar,27.4,83.7,0.0,2.2,1015.5,55.1,7.67,0,0,0,1.07,0,6,1
Groundnut,30.4,56.7,1.95,8.7,1011.3,6.0,7.31,2,1,2,1.66,0,8,1
Cotton,26.5,65.4,2.55,10.1,1006.1,8.1,6.17,0,0,0,1.88,1,7,1
Groundnut,30.8,51.5,3.42,7.8,1008.5,73.8,6.6,2,0,0,2.72,1,9,1
Bajra,38.9,43.9,1.56,3.5,1022.6,35.0,7.61,2,1,0,2.5,2,12,1
Maize,25.9,64.4,2.87,4.7,1013.5,62.1,6.68,1,1,2,1.17,1,6,1
Cotton,30.7,53.3,2.04,7.6,1008.2,63.6,7.68,2,0,0,2.91,2,1,1
Maize,30.0,53.4,2.6,6.9,1013.6,6.7,6.82,0,2,0,2.93,1,11,1
Bajra,34.2,47.2,1.59,3.2,1016.5,58.2,8.02,0,2,0,1.4,0,10,1
Groundnut,19.9,69.9,0.0,5.7,1009.8,22.2,6.11,1,2,0,0.53,0,6,0
Wheat,25.1,53.1,4.37,5.0,1008.7,28.8,6.95,0,0,2,1.78,2,6,0
Maize,25.8,62.0,2.96,2.7,1015.2,6.4,6.84,2,1,2,1.13,0,7,1
Jowar,26.0,36.7,4.99,12.7,1004.4,95.6,5.79,1,2,0,1.07,2,6,0
Wheat,18.3,65.2,0.73,10.4,1018.5,41.5,6.63,2,0,2,1.95,2,10,1
Bajra,23.9,40.7,0.26,7.7,1016.2,44.0,7.19,1,1,1,1.95,0,12,0
Bajra,25.8,58.5,0.0,5.4,1018.1,21.1,7.91,0,1,0,2.09,2,4,1
Bajra,27.5,49.0,3.17,2.1,1016.6,68.1,6.95,0,0,0,1.26,1,6,0
Pulses,27.9,41.6,0.96,10.8,1009.4,66.7,8.22,0,2,2,2.38,0,11,0
Sugarcane,26.9,42.1,10.08,11.2,1009.7,15.3,8.14,1,2,0,0.58,2,6,1
Cotton,22.1,55.1,3.01,12.5,1015.2,39.3,7.85,2,2,0,1.9,0,7,0
Soybean,17.7,80.0,4.91,13.0,1011.0,71.8,6.92,0,1,2,2.28,2,12,1
Soybean,18.5,72.9,0.0,5.8,1013.1,48.9,7.73,0,0,0,1.0,1,3,1
Sugarcane,23.2,61.4,5.79,12.1,1007.8,1.6,7.85,1,2,0,1.12,2,12,1
Jowar,29.4,56.6,7.5,12.7,1012.4,73.2,7.79,0,2,0,2.13,0,5,1
Groundnut,16.2,104.2,0.0,6.4,1016.0,33.2,6.88,1,2,0,0.69,1,11,1
Cotton,32.3,51.0,3.59,8.9,1019.0,56.3,7.33,1,0,0,1.19,1,12,1
Jowar,25.6,59.1,3.6,5.7,1011.7,34.4,6.57,2,2,1,2.8,0,7,0
Bajra,33.4,31.4,2.51,13.2,1019.9,80.2,7.85,0,1,2,2.93,0,8,0
Jowar,19.9,55.2,5.75,7.3,1027.2,84.8,7.71,0,0,1,1.99,2,7,1
Maize,27.7,63.2,3.2,6.5,1011.3,60.8,6.49,1,2,1,2.03,2,10,1
Wheat,18.3,70.7,0.25,6.6,1015.0,20.5,7.59,1,1,2,2.65,2,12,1
Maize,24.3,68.6,4.14,2.2,1004.3,31.9,6.31,1,0,2,2.79,1,12,1
Groundnut,23.4,66.9,6.18,12.7,1020.8,86.5,6.76,2,2,2,0.71,2,11,1
Soybean,27.1,52.4,0.97,3.5,1011.8,73.3,5.78,1,1,0,2.96,2,3,1
Maize,26.7,68.6,1.4,3.7,1005.2,45.7,7.56,1,1,0,1.4,0,5,0
Soybean,27.6,57.9,1.69,12.4,1011.9,7.2,7.38,2,2,1,1.08,1,9,1
Sugarcane,39.5,72.9,4.51,8.7,1008.6,26.5,5.6,0,2,1,1.69,1,10,1
Maize,24.9,67.6,4.85,8.4,1009.3,36.7,6.05,1,2,2,2.55,0,9,1
Cotton,29.8,50.2,3.28,8.6,1011.0,98.3,7.44,2,0,2,2.29,1,5,1
Cotton,27.6,56.7,0.33,12.3,1003.8,28.7,7.02,1,0,0,0.64,1,5,1
Cotton,31.2,56.0,0.0,12.9,1019.1,42.5,7.06,2,1,1,1.39,2,1,1
Jowar,33.8,56.0,2.78,10.3,1020.6,59.2,7.4,0,1,2,1.4,1,7,1
Groundnut,22.3,87.3,3.45,5.0,1014.2,46.0,8.06,1,2,0,2.21,2,8,1
Cotton,30.7,61.9,0.1,12.2,1011.0,60.9,6.46,2,0,0,0.54,0,3,1
Jowar,22.2,86.2,3.76,11.6,1012.1,24.5,5.91,1,0,1,2.13,2,8,1
Groundnut,37.8,54.6,4.79,6.8,1009.0,41.0,7.93,0,0,1,2.34,0,9,1
Bajra,31.1,31.6,0.7,8.0,1006.2,68.0,6.94,2,1,2,1.24,1,12,1
Cotton,26.7,62.0,4.74,13.9,1009.2,98.6,6.81,2,1,2,1.12,0,9,1
Pulses,29.7,43.6,3.3,6.0,1017.6,51.7,7.17,0,1,1,0.97,1,11,0
Cotton,30.0,63.4,2.9,5.5,1013.0,47.6,7.92,0,0,0,2.25,2,9,1
Wheat,20.7,40.4,2.0,6.0,1014.8,4.9,6.91,0,1,1,2.68,2,8,1
Wheat,21.4,58.6,3.3,10.2,1013.5,79.7,6.9,2,2,1,1.58,1,3,0
Maize,21.9,90.1,3.83,13.6,1005.7,62.6,6.68,0,0,2,0.86,1,7,0
Wheat,28.5,28.2,0.0,11.0,1015.4,19.4,6.84,1,2,1,1.68,1,8,0
Rice,26.8,86.0,7.27,10.5,1011.3,34.8,6.63,0,0,2,1.44,1,2,1
Groundnut,31.3,64.2,2.81,5.2,1008.3,63.4,7.73,1,0,1,1.92,1,9,1
Cotton,28.8,62.2,6.48,7.6,1013.3,52.2,6.71,0,1,1,2.06,2,6,0
Pulses,28.2,64.0,0.19,9.6,1011.1,19.3,6.65,2,1,2,0.84,0,7,1
Maize,22.1,54.1,3.29,7.0,1008.8,46.3,7.07,2,0,0,2.91,1,3,0
Jowar,35.5,55.1,6.16,7.0,1011.3,51.6,6.95,1,2,2,2.64,0,1,1
Groundnut,33.2,71.1,2.07,8.5,1010.1,25.8,8.6,1,1,1,1.19,1,7,0
Maize,31.0,76.1,3.79,6.9,1007.5,73.3,6.6,2,2,2,2.62,2,3,1
Wheat,25.0,46.2,0.0,7.7,1019.0,25.0,7.02,1,1,1,2.82,2,4,0
Groundnut,24.8,74.0,1.73,9.1,1023.0,58.0,7.63,1,2,1,0.77,0,1,0
Bajra,34.8,38.6,2.27,12.6,1006.8,82.1,7.85,0,2,0,2.13,0,8,0
Bajra,28.4,47.9,0.0,2.8,1010.6,38.8,6.6,0,0,0,0.79,0,12,1
Pulses,21.6,64.5,4.47,5.9,1026.9,22.3,7.3,1,1,0,1.47,0,1,0
Cotton,25.2,56.1,6.1,4.0,1012.6,87.0,7.17,2,2,1,1.32,0,3,0
Wheat,25.8,60.6,3.95,4.8,1016.3,6.3,5.92,2,0,1,1.14,0,11,0
Jowar,31.6,71.9,3.08,14.2,1020.5,66.1,7.37,0,1,2,2.72,2,2,0
Bajra,31.2,48.1,0.32,14.8,1012.7,16.1,7.57,0,0,1,1.69,2,4,1
Groundnut,22.1,73.5,1.67,3.2,1012.1,20.4,4.77,1,1,0,1.77,1,7,0
Sugarcane,25.0,48.6,2.71,3.6,1006.9,62.3,6.75,1,1,2,1.79,0,3,1
Bajra,31.9,38.7,0.0,2.6,1008.2,78.6,6.96,2,1,2,1.76,1,5,1
Wheat,21.0,69.4,0.0,2.0,1015.4,12.8,7.8,1,0,2,0.69,2,12,1
Groundnut,25.5,50.0,6.63,7.7,1007.7,77.9,7.15,2,0,2,2.53,0,4,0
Pulses,20.4,47.9,0.0,13.7,1012.7,68.3,7.55,1,0,0,0.73,1,5,1
Soybean,29.1,76.5,2.44,2.4,1021.8,30.1,7.71,2,1,1,0.54,0,12,1
Rice,27.1,100.2,7.07,11.5,1019.3,76.2,6.92,1,2,2,2.84,1,10,1
Jowar,21.9,55.5,4.71,12.1,1011.3,41.5,6.11,1,2,2,1.09,1,1,0
Cotton,28.6,70.6,1.08,6.4,1013.9,95.1,6.92,2,0,0,2.4,0,10,1
Groundnut,30.1,58.4,0.83,11.2,1017.7,91.2,6.97,1,1,1,2.19,0,3,1
Soybean,27.0,56.0,5.4,13.9,1003.2,46.8,7.07,0,1,0,3.0,1,3,1
Rice,27.9,65.8,10.43,4.2,1005.1,25.6,6.73,0,1,0,1.43,1,11,1
Cotton,26.8,70.4,3.47,7.4,1010.4,17.8,7.47,1,2,2,2.45,0,6,1
Bajra,35.2,45.6,0.5,6.9,1018.9,68.2,7.67,0,2,2,1.86,2,8,1
Cotton,23.8,83.6,2.91,11.2,1011.4,88.0,7.29,1,0,2,2.67,2,2,0
Wheat,19.8,52.4,2.28,3.7,1011.8,5.2,7.08,1,0,1,2.8,0,12,1
Pulses,18.9,67.8,2.42,8.0,1019.8,11.2,7.33,1,0,0,2.24,1,5,1
Sugarcane,24.8,62.8,4.43,9.3,1019.6,80.6,6.21,1,0,2,1.49,1,1,1
Cotton,29.7,51.5,3.31,10.0,1018.9,87.7,7.78,0,1,1,0.78,1,1,1
Cotton,26.7,60.9,0.0,13.5,1025.1,94.6,7.51,0,2,2,0.56,1,8,1
Wheat,25.7,52.4,1.14,3.7,1017.1,21.9,6.51,2,2,0,2.22,0,7,0
Bajra,32.5,46.6,0.4,2.8,1003.2,58.8,7.92,1,1,2,2.93,1,1,1
Sugarcane,24.5,55.8,4.64,6.0,1014.8,26.1,9.34,0,0,2,2.47,0,2,1
Wheat,16.3,59.9,3.48,13.5,1015.0,90.5,6.55,1,2,2,2.99,0,12,0
Sugarcane,26.9,57.7,3.35,3.1,1005.4,44.5,6.21,2,1,2,2.2,0,10,1
Jowar,24.1,71.1,7.2,2.1,1010.3,52.6,6.81,2,2,2,2.41,0,4,1
Rice,28.6,87.5,11.99,11.8,1019.6,40.6,7.51,2,2,2,1.02,2,11,1
Pulses,19.1,72.3,7.09,8.8,1016.2,2.1,7.66,2,2,1,2.22,2,11,0
Maize,20.3,75.5,5.48,6.4,1005.1,97.0,7.1,2,2,2,1.24,0,9,0
Pulses,27.8,56.8,6.83,12.5,1018.0,17.7,7.47,1,1,0,2.03,2,12,1
Bajra,28.7,59.6,0.45,13.0,1009.9,84.2,8.82,2,1,1,1.8,1,7,1
Sugarcane,30.5,79.6,3.21,2.3,1023.2,17.2,7.37,2,2,2,1.09,1,11,0
Sugarcane,22.9,79.8,2.57,9.4,1015.1,69.0,7.18,1,0,1,1.49,1,8,1
Maize,27.3,58.7,4.4,14.0,1023.8,1.0,6.58,0,1,1,2.91,2,9,1
Pulses,26.6,58.0,1.48,2.7,1011.6,58.1,7.33,0,1,1,2.21,2,1,0
Maize,20.4,55.8,6.65,13.9,1010.2,89.8,6.39,1,1,1,1.44,1,2,0
Wheat,13.5,65.5,0.8,12.5,1016.4,89.5,7.4,2,0,0,2.98,2,6,1
Rice,26.7,61.8,7.0,6.7,1007.7,4.4,6.36,1,0,1,0.98,0,3,0
Bajra,31.3,42.6,0.13,10.2,1007.2,88.2,7.67,0,2,1,0.92,2,7,1
Maize,30.6,43.8,1.9,3.3,1011.0,94.2,6.31,1,0,2,1.64,2,1,0
Groundnut,29.1,49.9,1.02,6.0,1012.6,7.2,6.43,2,1,1,0.59,2,8,1
Cotton,27.1,47.9,0.13,10.1,1007.6,8.9,8.29,1,0,1,1.38,2,10,1
Groundnut,24.5,50.3,0.69,5.2,1014.9,37.6,8.01,1,0,0,1.29,0,10,0
Groundnut,19.7,47.4,0.0,2.2,1005.7,42.0,8.32,0,1,1,1.8,1,3,0
Cotton,26.9,49.8,4.15,6.6,1013.9,95.3,7.6,1,1,0,0.8,2,7,1
Jowar,31.5,49.6,5.55,14.9,1013.4,98.9,6.92,2,1,0,1.31,0,8,1
Maize,28.5,54.7,4.04,3.8,1011.4,91.8,7.03,1,2,2,0.88,0,8,1
Soybean,32.3,36.2,2.52,5.4,1014.0,54.1,6.29,0,1,2,2.15,1,10,1
Cotton,30.3,56.7,5.4,4.1,1009.6,33.7,6.95,0,1,0,0.74,1,6,0
Bajra,30.0,44.8,1.11,13.7,1010.3,82.4,7.48,0,1,0,1.96,1,4,1
Jowar,18.5,48.7,1.51,11.8,1015.2,5.7,6.17,2,1,2,0.51,2,2,0
Bajra,30.1,68.0,1.67,12.8,1013.6,13.1,6.82,2,2,2,1.39,0,9,1
Rice,29.4,59.1,11.15,6.9,1021.2,48.3,6.54,1,0,1,1.03,2,12,0
Cotton,26.0,54.3,3.76,2.9,1016.3,81.6,7.33,2,1,0,0.69,1,4,1
Maize,23.9,56.3,6.58,12.8,1011.9,65.8,7.71,2,1,2,2.81,1,2,1
Bajra,29.1,55.2,1.57,2.8,1021.5,42.2,7.83,1,1,0,0.88,0,5,1
Wheat,18.9,82.2,2.68,6.8,1010.0,92.1,6.97,0,0,2,2.72,2,6,1
Jowar,18.1,41.4,1.93,8.5,1013.6,2.9,6.25,0,1,0,2.46,1,11,0
Groundnut,26.8,59.3,0.0,7.8,1012.4,0.2,7.07,1,2,2,1.35,1,3,1
Rice,30.9,85.0,8.17,7.1,1010.4,65.8,6.54,0,2,0,0.57,2,10,1
Bajra,27.1,50.8,0.81,3.9,1015.8,17.6,6.88,0,0,1,2.13,2,11,1
Maize,25.8,66.1,3.64,5.6,1015.2,56.7,6.46,1,2,0,1.04,2,5,1
Jowar,19.5,65.9,3.33,4.8,1006.7,68.5,6.88,1,1,0,2.79,2,6,1
Groundnut,17.7,71.1,1.52,8.7,1018.1,95.5,7.4,1,0,0,1.69,2,2,0
Wheat,23.8,63.7,0.0,9.6,1011.8,1.7,6.31,2,2,1,0.95,0,4,1
Wheat,21.7,64.2,4.75,6.9,1016.0,20.3,6.37,1,0,1,2.61,1,2,0
Soybean,26.2,85.3,0.96,4.2,1018.0,60.7,6.72,2,2,1,1.37,2,9,0
Maize,27.5,59.5,2.36,6.2,1008.1,20.8,6.88,1,2,2,0.69,2,2,1
Pulses,30.0,75.0,6.8,3.3,1009.2,30.6,7.09,2,2,2,2.17,1,11,1
Jowar,24.3,29.2,4.92,3.5,1003.3,22.8,6.32,0,2,0,2.53,0,10,1
Cotton,31.1,53.1,2.61,8.4,1019.2,26.5,7.01,2,2,1,1.09,1,5,1
Sugarcane,22.8,68.1,2.52,13.0,1013.5,70.3,7.11,1,0,0,2.78,1,1,1
Cotton,30.7,53.5,2.49,8.9,1016.4,9.6,6.83,2,2,1,2.31,0,3,1
Pulses,34.3,59.8,1.6,12.8,1020.4,43.7,7.67,2,2,2,2.4,0,8,1
Pulses,21.3,53.0,4.91,7.3,1014.5,4.3,8.33,2,0,2,2.11,1,2,1
Wheat,18.4,44.7,1.08,13.1,1016.2,1.3,7.84,1,1,1,0.59,1,5,1
Cotton,27.8,59.4,5.24,2.2,1018.4,10.0,8.63,1,1,2,1.44,1,9,0
Wheat,20.3,43.7,3.05,11.7,1009.0,2.6,6.22,2,2,0,2.13,1,12,0
Rice,27.4,64.0,12.14,6.1,1011.4,4.4,6.71,0,0,0,0.91,2,8,0
Maize,25.4,61.3,8.11,6.3,1005.9,57.4,5.84,1,0,2,2.27,2,3,1
Wheat,21.9,45.2,2.36,5.6,1010.5,68.5,6.97,2,2,2,1.78,0,8,1
Soybean,11.4,64.2,6.23,4.9,1016.6,6.6,8.04,1,0,1,1.16,1,4,1
Cotton,26.1,61.3,2.53,4.5,1011.3,24.7,7.31,2,0,1,0.81,0,10,1
Wheat,22.8,51.3,0.8,14.0,1008.6,80.0,6.19,0,1,1,1.77,1,5,1
Pulses,26.7,56.6,0.0,8.6,1010.4,78.4,5.66,2,1,2,1.16,1,9,0
Cotton,26.2,64.1,2.77,15.0,1008.2,43.2,6.57,1,2,2,1.13,1,10,1
Cotton,22.3,59.2,1.99,7.9,1006.9,12.2,7.29,2,2,2,2.94,2,8,0
Bajra,22.8,47.3,1.49,4.7,1012.3,14.3,6.85,1,0,2,1.76,0,4,0
Jowar,15.2,50.8,0.0,11.9,1010.1,20.6,7.09,2,2,2,2.03,1,10,1
Sugarcane,22.3,74.3,2.31,7.4,1020.7,78.8,5.82,1,0,1,2.03,2,12,1
Rice,25.2,84.6,9.43,6.5,1008.1,55.1,5.83,2,0,1,0.85,2,5,1
Maize,27.8,63.1,4.3,9.5,1014.7,95.3,6.57,1,1,0,2.94,0,8,1
Rice,29.4,86.7,10.21,14.6,1010.4,61.2,6.76,0,0,1,1.09,1,8,1
Cotton,31.9,55.3,0.4,14.1,1016.0,63.8,7.55,0,1,0,1.74,2,9,1
Groundnut,24.1,79.9,1.42,10.0,1013.2,87.2,8.12,1,0,2,2.16,0,2,1
Jowar,25.8,50.6,3.73,12.9,1008.8,28.1,6.81,0,0,0,2.74,0,9,0
Cotton,32.8,50.2,3.23,3.4,1013.3,27.0,7.7,2,2,0,0.77,2,6,1
Groundnut,16.8,42.8,5.5,5.8,1015.6,30.2,6.43,1,1,2,0.6,1,12,1
Rice,22.5,69.4,7.81,2.2,1012.8,36.5,6.89,1,2,0,0.69,1,9,1
Pulses,34.1,48.5,0.54,2.8,1018.1,18.4,8.14,1,2,2,2.27,2,1,1
Soybean,20.5,60.0,3.57,6.3,1013.1,20.7,6.48,0,1,1,0.64,2,3,1
Groundnut,29.5,64.7,1.85,8.6,1026.7,95.0,6.57,2,2,2,2.4,1,10,1
Cotton,31.2,73.7,2.51,6.8,1010.5,10.4,7.06,1,2,0,2.59,0,1,1
Maize,28.5,52.4,4.92,14.6,1011.7,36.8,6.47,2,0,1,2.86,2,5,1
Groundnut,29.7,55.4,3.5,14.9,1010.7,64.4,7.53,0,0,0,1.89,2,12,1
Cotton,29.8,58.2,3.05,6.5,1007.9,65.3,6.92,2,0,0,1.79,2,12,1
Groundnut,28.2,80.7,0.0,13.8,1007.1,23.5,6.34,2,1,2,2.07,0,3,1
Maize,22.1,70.3,4.06,11.4,1021.3,86.1,6.02,0,1,1,1.81,1,5,0
Maize,23.8,72.5,4.34,3.5,1018.3,85.3,6.07,0,0,0,0.66,1,12,1
Jowar,28.6,45.0,0.6,8.8,1013.0,29.8,6.29,1,2,0,2.49,1,5,1
Pulses,33.0,65.0,3.67,5.5,1017.6,37.5,6.79,1,2,1,0.93,2,8,0
Groundnut,25.8,77.1,1.79,6.3,1016.5,81.1,7.13,2,1,0,0.72,0,7,1
Sugarcane,27.1,92.4,3.19,3.6,1009.0,74.0,7.82,1,1,2,1.31,1,12,1
Soybean,21.0,78.1,4.07,8.3,1011.5,78.8,6.07,2,1,2,2.49,1,4,1
Rice,22.9,89.8,4.14,7.2,1019.0,99.2,6.84,0,0,1,1.1,0,10,0
Cotton,28.3,49.8,2.33,4.4,1016.5,57.8,6.79,1,2,2,2.7,0,6,1
Soybean,27.9,46.9,0.0,8.6,1008.6,39.1,6.39,0,2,2,1.23,2,5,0
Pulses,29.2,74.2,0.0,10.3,1013.8,27.7,7.05,0,2,0,2.13,0,6,1
Wheat,26.1,65.8,0.16,13.7,1023.1,69.2,6.19,1,0,1,1.5,1,10,0
Soybean,18.4,41.8,0.82,6.8,1012.9,51.9,7.29,2,0,0,2.28,0,7,1
Maize,33.0,53.9,2.05,11.5,1010.9,88.8,6.3,0,1,2,2.33,2,12,1
Jowar,25.9,66.6,5.47,5.2,1009.8,9.3,6.4,0,1,1,2.4,0,5,0
Wheat,23.6,42.7,2.08,12.9,1011.7,25.5,6.25,0,0,2,2.67,2,8,1
Bajra,27.8,42.7,0.99,8.7,1016.4,23.7,7.88,2,2,0,2.34,1,6,1
Cotton,31.0,51.5,1.87,9.3,1011.5,46.2,7.24,0,1,2,1.78,2,7,1
Wheat,20.5,53.9,2.47,6.5,1018.0,28.7,6.37,1,2,1,2.6,0,4,1
Maize,27.1,71.9,4.52,10.0,1008.4,77.6,6.0,2,2,1,2.83,2,6,1
Groundnut,25.3,60.2,4.63,8.0,1004.4,98.1,7.8,2,2,0,2.86,2,8,1
Cotton,26.9,69.9,3.81,8.1,1010.5,50.4,7.66,0,2,1,2.35,2,3,1
Cotton,31.3,53.8,0.0,7.5,1012.9,22.1,7.04,2,0,0,0.6,2,12,1
Rice,29.8,95.1,13.65,6.9,1008.0,79.5,5.77,0,0,2,0.78,2,2,1
Rice,25.8,73.7,4.6,3.3,1025.1,72.9,5.94,0,2,0,2.75,2,3,0
Jowar,28.9,58.6,0.0,8.0,1000.2,14.5,7.72,0,2,0,2.73,0,12,0
Sugarcane,30.9,59.4,1.43,11.8,1014.1,37.4,5.46,1,2,1,1.72,1,4,0
Maize,23.9,65.7,0.4,12.4,1011.6,70.2,6.25,1,0,1,0.86,2,8,0
Sugarcane,31.6,84.4,5.19,11.7,1009.4,41.4,7.25,0,0,0,1.71,0,8,0
Pulses,26.8,18.9,3.42,3.6,1011.9,73.3,7.38,2,2,0,2.38,1,9,0
Pulses,29.1,54.1,0.63,11.9,1024.9,42.5,7.34,1,1,2,0.6,2,12,0
Soybean,22.1,67.8,0.0,3.6,1004.2,56.2,6.23,2,0,0,2.71,0,3,1
Jowar,25.3,42.1,5.45,13.6,1015.0,59.8,6.38,2,2,2,0.96,1,2,1
Groundnut,33.8,47.6,4.47,7.3,1014.1,81.6,6.95,1,2,0,2.01,2,10,1
Cotton,29.0,57.6,3.6,11.0,1006.5,87.6,6.72,1,2,2,2.96,1,1,1
Pulses,31.5,48.3,0.82,6.4,1015.0,47.6,7.11,2,2,0,2.06,0,6,0
Groundnut,22.2,38.1,1.71,2.3,1011.1,66.8,6.44,2,0,0,1.12,2,8,0
Pulses,27.6,52.9,3.15,11.6,1016.2,77.1,6.18,2,2,1,2.42,2,4,1
Groundnut,25.9,73.2,3.42,13.3,1020.4,47.1,7.24,2,1,1,1.73,0,3,1
Sugarcane,23.5,35.2,5.32,9.6,1026.4,70.9,7.53,2,0,1,2.27,0,6,0
Groundnut,23.9,70.5,4.16,9.1,1008.5,80.3,5.22,2,0,1,2.49,2,3,1
Bajra,28.0,42.1,0.92,15.0,1016.0,24.1,7.88,2,0,2,1.55,2,1,1
Cotton,30.1,69.2,2.45,9.1,1017.3,19.7,7.76,0,1,1,2.29,2,8,1
Rice,33.9,67.0,10.63,15.0,1014.8,8.0,6.1,2,0,2,2.79,0,5,1
Rice,31.5,69.7,4.21,3.0,1011.8,11.1,6.92,0,1,2,2.06,2,9,0
Soybean,28.6,69.9,2.39,14.4,1003.7,8.5,6.41,0,2,1,1.56,2,1,0
Sugarcane,26.3,61.5,1.49,10.8,1020.5,36.6,8.47,0,0,2,1.72,1,6,0
Rice,30.2,73.8,7.53,14.0,1014.5,20.2,6.47,2,0,0,1.06,1,3,1
Maize,26.4,59.6,3.31,11.5,1011.8,64.4,7.07,0,1,1,1.21,0,8,1
Rice,27.2,77.9,10.94,12.3,1019.3,64.7,6.44,0,2,0,2.44,1,12,1
Maize,25.1,62.2,4.54,10.9,1015.5,34.1,5.76,0,1,1,2.22,2,8,1
Soybean,16.5,58.2,4.62,14.2,1011.8,88.3,6.93,2,0,2,2.88,1,6,1
Sugarcane,20.9,53.9,0.0,8.1,1015.8,20.1,6.98,2,0,0,1.43,0,8,1
Rice,28.8,76.1,8.99,6.0,1020.2,13.6,6.78,2,2,1,1.27,0,8,1
Wheat,24.6,67.6,2.54,7.2,1016.1,8.9,6.76,0,1,0,1.74,0,9,1
Jowar,29.2,43.6,2.05,12.1,1007.7,92.5,6.78,1,1,2,1.89,0,2,1
Bajra,33.7,52.9,3.3,10.0,1014.5,47.8,8.15,2,1,0,2.41,0,7,0
Sugarcane,22.4,80.9,1.56,8.4,1011.7,10.9,5.99,0,1,1,1.13,2,12,1
Bajra,25.8,40.9,2.13,7.8,1013.2,31.8,6.28,1,2,2,2.12,0,2,0
Bajra,40.4,56.1,0.0,13.8,1013.6,8.0,7.19,0,0,0,2.96,0,11,1
Maize,19.7,59.2,3.43,13.9,1015.5,27.8,7.14,0,2,2,1.79,2,8,0
Cotton,27.1,69.5,5.98,12.7,1020.9,93.0,6.43,2,2,2,2.06,0,5,0
Jowar,27.3,69.5,0.09,3.8,1022.8,7.0,5.55,2,1,2,1.75,1,5,1
Wheat,17.9,64.2,1.65,13.6,1018.6,80.5,6.88,1,1,2,1.7,1,10,1
Soybean,23.8,60.5,3.21,11.6,1016.6,79.0,7.44,0,1,0,1.18,1,12,1
Cotton,27.2,52.9,3.94,10.8,1011.7,28.3,7.17,2,1,2,1.32,1,2,1
Groundnut,25.8,47.0,2.91,14.7,1015.1,13.8,7.29,1,2,1,1.67,1,9,1
Pulses,25.5,28.8,2.42,2.8,1016.3,95.3,5.9,2,0,1,0.66,1,1,1
Jowar,25.5,68.9,5.03,11.0,1012.7,78.6,7.74,1,1,0,2.58,0,6,1
Cotton,26.4,69.6,6.92,10.4,1011.3,47.2,6.84,2,0,0,2.92,0,12,0
Maize,30.0,63.0,2.98,6.5,1017.7,10.9,5.82,0,2,2,0.51,0,2,1
Groundnut,34.3,58.2,0.18,11.3,1013.2,27.7,5.45,2,2,0,1.72,0,6,0
Pulses,38.2,62.9,1.93,14.8,1017.9,57.9,6.17,2,0,0,1.78,1,6,1
Wheat,32.6,54.3,2.85,5.6,1015.0,31.3,6.69,2,1,1,2.25,0,4,0
Pulses,23.1,43.8,5.04,9.9,1006.1,0.5,7.05,2,2,0,0.81,0,8,1
Maize,32.7,65.0,5.84,9.8,1001.2,84.8,6.72,2,2,1,0.93,1,9,1
Wheat,23.7,60.9,2.82,3.1,1001.4,90.5,6.51,0,2,2,1.13,0,9,1
Maize,25.7,51.9,1.87,8.8,1015.7,66.4,6.7,2,2,0,1.88,0,3,0
Bajra,27.4,41.7,0.69,10.4,1001.3,56.2,6.71,2,1,0,1.7,1,6,1
Bajra,31.3,35.1,0.0,12.9,1013.5,23.2,8.04,1,2,1,1.15,0,4,1
Pulses,38.9,78.5,3.87,14.1,1014.6,1.9,7.36,1,1,0,1.36,2,4,1
Maize,28.8,79.5,6.15,9.8,1013.5,63.5,6.86,1,0,0,0.84,0,2,1
Pulses,15.8,69.7,2.3,14.7,1013.0,9.8,7.78,0,0,1,1.09,2,1,1
Cotton,34.7,54.0,3.1,8.4,1016.8,24.2,6.73,2,2,0,1.98,2,2,1
Maize,25.5,51.0,2.97,5.5,1009.2,21.4,6.72,0,2,1,2.5,0,9,1
Rice,26.1,68.5,6.44,12.9,1009.2,5.9,6.5,2,0,2,2.05,1,10,1
Cotton,27.5,54.8,3.68,12.5,1010.2,76.4,7.26,2,0,1,1.24,1,2,1
Rice,25.6,72.1,7.72,13.5,1017.6,89.7,5.94,0,0,2,2.54,2,1,1
Bajra,34.6,41.1,0.32,10.3,1016.4,62.6,7.72,0,2,2,1.84,0,9,1
Cotton,29.7,62.0,4.37,14.9,1014.3,72.0,7.19,2,0,2,2.26,2,6,1
Sugarcane,26.4,79.0,0.0,15.0,1002.7,71.4,8.42,0,0,1,1.04,1,8,0
Cotton,29.2,63.2,0.14,13.0,1009.3,88.8,6.97,0,0,2,1.36,2,4,1
